Crop,Pest,Pesticide,Application Method,Dosage
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
chickpea,Helicoverpa,Spinosad,Spray,1.5 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coconut,Red Palm Weevil,Chlorpyrifos,Soil Application,3.0 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
coffee,Coffee Berry Borer,Chlorpyrifos,Soil Drench,1.5 ml/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
grapes,Powdery Mildew,Sulfur,Spray,3.0 g/L
